Campaign_Type,Platform,Region,Impressions,Clicks,Conversions,Cost,Revenue,Duration_Days,Ad_Budget
social_media,Facebook,North America,1138,757,32,9831.174377,9834.872367,22,5633.007029
social_media,LinkedIn,South America,1358,534,78,9392.400312,16653.40622,20,12444.42688
advertisement,LinkedIn,North America,5931,483,15,9404.793486,6061.87154,18,13166.91998
email,Twitter,South America,4456,659,65,4620.013614,14905.82379,18,7526.608267
email,Facebook,South America,2627,293,13,5219.108925,17137.92205,17,16406.96909
email,Facebook,Asia,7626,835,32,7350.718567,15092.47535,23,19773.93663
advertisement,Twitter,Africa,6004,747,15,9299.727352,12458.43793,14,19186.62076
social_media,Google,South America,7652,633,41,2277.948334,19254.60521,23,7956.590582
social_media,Google,Asia,7416,617,27,3738.176774,9499.077347,27,18130.4486
email,Google,Africa,4170,815,24,2253.221601,5287.518313,29,15567.40455
social_media,Twitter,South America,4835,850,49,6508.07677,11479.84057,26,11807.69846
social_media,Facebook,South America,9017,284,82,3756.708972,5495.179039,17,13109.16491
advertisement,Twitter,North America,3151,971,83,3934.970673,19309.05129,8,17744.00262
advertisement,Twitter,North America,7905,391,93,1638.243635,8148.770686,16,12202.02409
advertisement,Google,Africa,3834,434,15,4148.164556,16833.90536,16,10598.11054
advertisement,Instagram,South America,3567,831,72,8762.468567,16618.58125,17,12398.7124
email,Facebook,Europe,2307,215,76,3097.655307,8265.933495,12,13686.94706
advertisement,Google,North America,9848,924,20,7256.687196,14318.39796,10,7836.164807
social_media,Instagram,Africa,3660,148,52,6666.655104,5721.184527,18,18513.61595
email,Instagram,South America,4730,784,26,8771.361475,12253.61879,17,15112.80423
social_media,LinkedIn,South America,7207,181,13,2190.591529,5219.706909,29,14499.03376
social_media,Facebook,Europe,4162,933,72,9798.309643,18817.1582,29,6492.443393
social_media,Instagram,Africa,2140,432,77,6243.657814,19641.29036,19,14062.60907
advertisement,Google,South America,9458,656,90,9959.267371,8334.2415,11,6814.409934
advertisement,LinkedIn,North America,2708,434,50,9203.632533,8121.590519,12,6180.465128
email,Facebook,Europe,4630,631,92,2993.655449,16305.80265,7,12909.66343
email,Twitter,Africa,4211,320,14,1505.458089,8800.690982,12,11041.78301
advertisement,Google,Europe,7538,734,41,3300.751844,18426.14839,24,13832.15405
social_media,Instagram,North America,1475,845,95,5748.072841,13608.93704,28,6338.332521
email,Instagram,Africa,8684,832,79,2544.367304,10261.66435,15,11464.74594
advertisement,Google,Europe,2207,422,44,2507.137701,17490.4062,21,7621.800726
advertisement,Instagram,Asia,2960,950,31,5163.341924,12401.10051,14,19806.50129
advertisement,LinkedIn,North America,1557,102,74,1299.411741,18674.49371,25,13417.25319
social_media,Facebook,North America,1882,793,93,2096.992743,18920.21355,22,15311.55291
advertisement,LinkedIn,North America,5761,305,31,4742.752055,7481.302282,12,9881.27421
advertisement,Instagram,Asia,6867,931,20,1568.169183,5034.851092,12,6421.083722
advertisement,Twitter,Asia,7963,139,86,4570.795508,19758.9641,28,19638.06294
advertisement,Facebook,South America,8166,158,12,5266.056394,18592.06304,9,9293.885531
email,Facebook,Europe,8929,673,18,5061.399527,5831.678536,16,11357.12278
email,Google,South America,6347,743,69,8822.573717,17495.51396,7,14747.95883
advertisement,Google,Europe,8269,606,85,5770.562095,11867.07399,20,5370.459465
social_media,Twitter,Asia,9125,671,96,5211.824162,8884.424075,10,17153.88696
email,Facebook,Asia,3454,983,23,4696.383209,18181.19786,18,13048.67285
advertisement,Twitter,South America,5494,942,27,8358.610405,7950.008486,12,9173.257806
email,Google,Africa,2946,221,82,9055.509436,19209.49999,17,5924.119779
email,Google,South America,3808,578,32,8679.182223,8084.322315,18,7437.476232
social_media,Facebook,Europe,7642,718,83,7061.919203,14205.24782,16,18425.50788
advertisement,LinkedIn,South America,4825,195,92,2236.255714,8346.295018,24,15290.36336
advertisement,Instagram,North America,4536,958,56,3491.829725,13185.02997,13,8748.525825
social_media,Google,Europe,7068,513,78,1414.567573,15259.62695,13,5984.011474
social_media,Google,Europe,4802,334,56,9377.416675,7853.418962,17,15359.22969
advertisement,LinkedIn,Africa,5699,997,96,6947.186767,12813.28674,10,13586.11589
advertisement,LinkedIn,Asia,2970,161,39,7717.265959,12035.89617,26,11067.79287
social_media,Twitter,Europe,6806,355,34,3804.145656,6065.561321,7,10454.17174
email,Twitter,Asia,7142,660,37,8610.8817,17274.61727,19,8252.214139
email,Instagram,South America,3819,447,34,3336.429553,10035.23601,24,15044.16885
social_media,Instagram,North America,1364,770,83,1014.793814,13618.73296,15,19560.02042
email,Facebook,Africa,5258,223,87,4387.734663,12721.76352,15,7635.728688
social_media,Twitter,Asia,4119,581,67,6136.853329,12698.90757,29,13956.7493
email,Google,Europe,2863,416,50,5308.343722,6608.335913,15,11362.77584
email,Twitter,Asia,1115,603,34,8758.685283,11352.23014,16,11700.33083
advertisement,Google,Europe,8084,818,87,1948.647574,11785.50139,8,8812.209202
advertisement,LinkedIn,Asia,9016,147,57,5984.410966,16004.64261,12,17377.02313
email,Twitter,Europe,3384,508,19,5616.814148,17600.28248,21,12278.83406
email,LinkedIn,South America,4935,235,84,3532.53684,13174.73417,9,13151.08778
advertisement,Instagram,Europe,8742,300,20,8400.053013,6301.744311,17,9571.413692
advertisement,Instagram,Europe,6442,349,94,7775.637903,8552.742059,12,7727.126985
advertisement,Facebook,North America,3490,413,30,7595.732686,7474.010403,9,6288.655823
social_media,Twitter,Europe,7980,968,95,8885.732304,6869.225948,17,15711.78711
email,LinkedIn,North America,8661,467,54,7505.061406,10488.48948,21,7943.514225
advertisement,Google,Africa,2724,528,16,3086.571625,8440.902532,19,15351.13031
email,Instagram,North America,9182,929,90,7350.064405,8274.546677,26,10855.64669
social_media,Instagram,South America,3767,906,73,3769.325321,5820.397619,16,11236.62201
social_media,Google,North America,2137,579,73,3179.571853,5265.050672,12,12037.66244
advertisement,LinkedIn,Africa,5117,413,11,1657.032336,6541.52364,21,10515.62762
social_media,LinkedIn,South America,4420,599,85,7696.257223,7582.962191,24,6509.299658
email,Twitter,Asia,6845,820,51,7399.008658,11464.75593,24,9644.47715
advertisement,Twitter,Asia,5778,454,91,3110.495299,12657.80392,13,14956.01541
email,Facebook,North America,4906,584,63,7744.411151,7108.878773,21,14986.76602
email,Instagram,North America,4637,310,84,9260.567948,11371.75012,24,9293.364609
social_media,Twitter,Africa,3953,803,25,1972.260617,10126.23263,24,11901.5394
social_media,LinkedIn,Africa,6929,143,27,3093.729745,7751.354652,26,7901.70842
social_media,Google,Europe,1276,640,68,7752.347147,5102.611222,15,8155.581223
social_media,LinkedIn,Africa,2999,670,99,3470.560062,12005.268,8,5345.706326
social_media,Instagram,Europe,2227,682,25,6621.975769,15284.77624,14,18451.19825
advertisement,LinkedIn,South America,7337,191,15,1730.47802,8394.160012,26,8160.599976
email,Facebook,North America,4735,364,66,5069.822312,6977.102448,8,8413.008154
email,Instagram,South America,1695,994,56,7651.822798,18305.64117,17,9194.02149
email,Google,Africa,5152,319,57,7178.625487,9125.371587,13,6911.121075
email,Facebook,South America,8901,541,51,8335.648906,8354.189297,12,14588.94325
social_media,Instagram,South America,8470,500,85,8897.069139,17856.45409,16,6127.144298
email,Google,South America,8537,499,69,7958.651511,17256.60649,11,7013.036395
advertisement,Facebook,Africa,3841,826,86,7044.289686,11725.19706,17,14671.3509
advertisement,Facebook,South America,5208,998,13,1285.502426,12338.58292,7,10094.90931
email,Instagram,Europe,9733,888,11,5814.700061,8266.230573,8,15619.2174
email,Twitter,Africa,2088,675,99,1339.279524,6174.525057,7,13361.37117
advertisement,Facebook,South America,4363,957,68,8272.610354,13601.47738,25,8840.317596
advertisement,Facebook,Africa,1024,903,36,3886.52072,6475.173824,8,14762.41926
social_media,Google,Asia,7144,589,36,6061.864367,11739.1182,27,6744.105204
advertisement,LinkedIn,Europe,6668,584,88,3515.007766,19107.45798,26,13046.15575
social_media,Instagram,South America,5236,856,81,8042.501299,19292.51584,29,11557.22158
social_media,Instagram,Asia,9068,569,16,8978.52274,8589.984298,27,9018.103742
social_media,Twitter,Asia,3235,673,72,4587.782448,14361.7013,10,14060.07497
social_media,Twitter,Africa,8295,943,55,8766.301542,12111.14396,18,18070.00389
social_media,Instagram,Asia,9392,781,72,3403.675067,18135.27691,28,19983.5705
email,Twitter,Europe,9448,544,21,5811.948308,9071.462964,26,14116.44153
advertisement,Google,Europe,4747,368,22,8728.852869,5055.536102,24,11070.58811
social_media,Instagram,North America,4175,366,52,3932.932084,7438.418089,7,8378.106503
advertisement,Twitter,Europe,5897,153,26,9586.380386,10242.84202,7,8856.441341
advertisement,Instagram,Asia,6037,627,72,2096.915516,9735.816947,20,12191.82467
social_media,LinkedIn,Europe,8427,619,90,1164.475628,16870.44379,10,10509.16552
email,Facebook,Africa,9605,715,45,9137.218173,15208.40999,11,18707.21784
social_media,Instagram,North America,3014,158,94,1617.837995,9493.344794,17,10524.43201
email,Facebook,Asia,2381,924,17,9927.002764,11866.15726,29,10601.66887
advertisement,Twitter,North America,2098,139,78,9562.571758,6433.386559,19,10753.01769
email,Facebook,Asia,4426,336,99,2233.18819,18472.19667,22,17549.30316
email,Instagram,Africa,4655,485,89,5838.261631,19031.37237,19,14761.82481
email,LinkedIn,North America,8938,705,45,2664.282677,19697.05303,28,14212.53275
advertisement,Twitter,South America,1187,833,37,4853.396557,18028.29246,8,10012.14534
advertisement,Instagram,Asia,6409,815,56,1552.826163,7609.413315,22,17268.56265
email,Twitter,South America,3092,749,85,3015.32129,5692.947248,12,5575.45792
email,Google,North America,3130,399,39,4269.455168,13693.95091,20,18061.95759
social_media,Facebook,South America,6242,494,32,4947.827502,18689.0754,7,12691.2485
email,Google,South America,9549,306,25,9797.466324,7660.270425,23,10973.75352
social_media,Instagram,North America,6647,435,23,8270.790811,5105.643719,17,12457.50921
email,LinkedIn,Africa,6185,692,83,7636.689499,17082.44069,25,15011.23296
social_media,Twitter,South America,6776,829,80,5833.371833,6151.935264,9,5191.481398
advertisement,Facebook,South America,8913,613,61,8559.979845,11205.59048,17,18073.27785
email,Twitter,Africa,8547,277,46,4053.905521,15183.31006,11,11701.09288
email,Instagram,South America,8823,495,38,7380.092015,8551.963782,23,10144.4978
email,Twitter,South America,8355,470,76,9944.055778,6259.438452,28,7073.683485
email,Facebook,South America,7465,957,24,3831.66018,16550.31843,13,11591.98062
social_media,Instagram,Europe,2497,890,56,7066.157814,14452.62627,16,12444.84157
email,Twitter,Africa,3555,757,55,8598.833777,19827.35727,17,11054.70042
advertisement,LinkedIn,South America,6409,417,61,9242.26825,10164.6205,9,15179.90141
advertisement,Instagram,Africa,3951,835,28,7461.394218,5926.435794,26,11313.44793
email,Instagram,Asia,2238,468,86,3552.471311,16015.25053,16,19421.26367
advertisement,LinkedIn,Asia,5727,483,30,3936.539364,12826.00128,16,13989.16277
email,Google,South America,4965,161,73,1186.822289,8198.058971,20,17112.16903
email,Facebook,Africa,6686,905,46,7847.973799,16725.93484,18,6640.338547
